tile_id,sensor,cloudCover,dayOrNight,year,month,day,image_quality
012021,TM,23,day,1982,12,31,0.77
012022,TM,100,day,1982,12,31,0
012023,TM,29,day,1982,12,31,0.71
012024,TM,30,day,1982,12,31,0.7
012025,TM,20,day,1982,12,31,0.8
012026,TM,21,day,1982,12,31,0.79
012027,TM,89,day,1982,12,31,0.10999999999999999
012028,TM,40,day,1982,12,31,0.6
012029,TM,30,day,1982,12,31,0.7
012030,TM,1,day,1982,12,31,0.99
012031,TM,24,day,1982,12,31,0.76
012032,TM,99,day,1982,12,31,0.010000000000000009
028021,TM,2,day,1982,12,31,0.7622222222222222
028022,TM,1,day,1982,12,31,0.99
028023,TM,2,day,1982,12,31,0.98
028024,TM,6,day,1982,12,31,0.94
028025,TM,72,day,1982,12,31,0.28
028026,TM,71,day,1982,12,31,0.29000000000000004
028027,TM,100,day,1982,12,31,0
044021,TM,86,day,1982,12,31,0.14
044022,TM,71,day,1982,12,31,0.29000000000000004
044023,TM,64,day,1982,12,31,0.36
044024,TM,45,day,1982,12,31,0.55
044025,TM,32,day,1982,12,31,0.6799999999999999
044026,TM,47,day,1982,12,31,0.53
044027,TM,91,day,1982,12,31,0.06999999999999998
044028,TM,66,day,1982,12,31,0.33999999999999997
044029,TM,14,day,1982,12,31,0.86
044030,TM,0,day,1982,12,31,1
044031,TM,0,day,1982,12,31,1
044032,TM,0,day,1982,12,31,1
044033,TM,20,day,1982,12,31,0.8
044034,TM,33,day,1982,12,31,0.6699999999999999
044035,TM,0,day,1982,12,31,1
117200,TM,-1,night,1982,12,31,1.01
117201,TM,-1,night,1982,12,31,1.01
117202,TM,-1,night,1982,12,31,1.01
117203,TM,-1,night,1982,12,31,1.01
117204,TM,-1,night,1982,12,31,1.01
117205,TM,-1,night,1982,12,31,1.01
117206,TM,-1,night,1982,12,31,1.01
117207,TM,-1,night,1982,12,31,1.01
117208,TM,-1,night,1982,12,31,1.01
117209,TM,-1,night,1982,12,31,1.01
117210,TM,-1,night,1982,12,31,1.01
117211,TM,-1,night,1982,12,31,1.01
117212,TM,-1,night,1982,12,31,1.01
117213,TM,-1,night,1982,12,31,1.01
117214,TM,-1,night,1982,12,31,1.01
117215,TM,-1,night,1982,12,31,1.01
117216,TM,-1,night,1982,12,31,1.01
117217,TM,-1,night,1982,12,31,1.01
117218,TM,-1,night,1982,12,31,1.01
117219,TM,-1,night,1982,12,31,1.01
117220,TM,-1,night,1982,12,31,1.01
117221,TM,-1,night,1982,12,31,1.01
117222,TM,-1,night,1982,12,31,1.01
117223,TM,-1,night,1982,12,31,1.01
117224,TM,-1,night,1982,12,31,1.01
117225,TM,-1,night,1982,12,31,1.01
021021,TM,93,day,1982,12,30,0.06999999999999995
021022,TM,100,day,1982,12,30,0
021023,TM,85,day,1982,12,30,0.15000000000000002
021024,TM,5,day,1982,12,30,0.95
021025,TM,6,day,1982,12,30,0.94
021026,TM,4,day,1982,12,30,0.96
021027,TM,6,day,1982,12,30,0.94
021028,TM,55,day,1982,12,30,0.44999999999999996
021029,TM,72,day,1982,12,30,0.28
021030,TM,100,day,1982,12,30,0
021031,TM,56,day,1982,12,30,0.43999999999999995
021032,TM,63,day,1982,12,30,0.37
021033,TM,24,day,1982,12,30,0.76
021034,TM,32,day,1982,12,30,0.6799999999999999
021035,TM,61,day,1982,12,30,0.39
021036,TM,41,day,1982,12,30,0.5900000000000001
021037,TM,46,day,1982,12,30,0.54
021038,TM,90,day,1982,12,30,0.09999999999999998
021039,TM,81,day,1982,12,30,0.18999999999999995
021040,TM,82,day,1982,12,30,0.18000000000000005
037021,TM,8,day,1982,12,30,0.92
037022,TM,0,day,1982,12,30,1
037023,TM,39,day,1982,12,30,0.61
037024,TM,100,day,1982,12,30,0
037025,TM,100,day,1982,12,30,0
037026,TM,100,day,1982,12,30,0
037027,TM,100,day,1982,12,30,0
037028,TM,100,day,1982,12,30,0
037029,TM,71,day,1982,12,30,0.29000000000000004
037030,TM,8,day,1982,12,30,0.92
037031,TM,1,day,1982,12,30,0.99
037032,TM,0,day,1982,12,30,1
037033,TM,2,day,1982,12,30,0.98
037034,TM,3,day,1982,12,30,0.7544444444444445
037035,TM,16,day,1982,12,30,0.84
037036,TM,68,day,1982,12,30,0.31999999999999995
037037,TM,100,day,1982,12,30,0
037038,TM,83,day,1982,12,30,0.17000000000000004
037039,TM,100,day,1982,12,30,0
