tile_id,year,dayOrNight,total_quality,max_quality,image_count,month_count,distribution_quality,distribution_balance
001026,1982,day,0.78,0.39,2,1,0.0325,1
001027,1982,day,0.17999999999999994,0.08999999999999997,2,1,0.007499999999999997,1
002026,1982,day,1.3399999999999999,0.6699999999999999,2,1,0.055833333333333325,1
002027,1982,day,1.44,0.72,2,1,0.06,1
003025,1982,day,1.54,0.77,2,1,0.06416666666666666,1
003026,1982,day,1.38,0.69,2,1,0.057499999999999996,1
003027,1982,day,1.38,0.69,2,1,0.057499999999999996,1
003028,1982,day,0.17999999999999994,0.08999999999999997,2,1,0.007499999999999997,1
005023,1982,day,3.2977777777777777,1,4,3,0.2114814814814815,1
005024,1982,day,3.396666666666667,0.99,7,3,0.17861111111111114,1
005025,1982,day,2.345555555555556,0.87,7,3,0.12898148148148147,1
005026,1982,day,3.086666666666667,0.6533333333333333,8,3,0.10777777777777779,1
005027,1982,day,4.88,0.97,8,3,0.1775,1
005028,1982,day,3.6733333333333333,0.98,6,3,0.15305555555555556,1
006022,1982,day,0.98,0.98,1,1,0.08166666666666667,1
006023,1982,day,0.99,0.99,1,1,0.0825,1
006024,1982,day,1,1,1,1,0.08333333333333333,1
006025,1982,day,1.8,0.9,2,1,0.075,1
006026,1982,day,0.48,0.24,2,1,0.02,1
006027,1982,day,1.7266666666666668,0.5833333333333334,4,2,0.07194444444444445,1
006028,1982,day,1.6555555555555557,0.5677777777777778,4,2,0.06898148148148149,1
006029,1982,day,0.94,0.47,2,1,0.03916666666666666,1
007022,1982,day,1.1600000000000001,0.5800000000000001,2,1,0.04833333333333334,1
007023,1982,day,0.1599999999999999,0.06999999999999995,4,2,0.006666666666666662,1
007024,1982,day,0.7,0.31999999999999995,4,2,0.029166666666666664,1
007025,1982,day,2.2199999999999998,0.61,4,2,0.09249999999999999,1
007026,1982,day,1.28,0.53,4,2,0.05333333333333334,1
007027,1982,day,1.6400000000000001,0.45,4,2,0.06833333333333334,1
007028,1982,day,2.2199999999999998,0.6599999999999999,4,2,0.09249999999999999,1
007029,1982,day,2.333333333333333,0.7,4,2,0.09722222222222221,1
008024,1982,day,0.48,0.24,2,1,0.02,1
008025,1982,day,1.66,0.83,2,1,0.06916666666666667,1
008026,1982,day,1.68,0.84,2,1,0.06999999999999999,1
008027,1982,day,1.98,0.99,2,1,0.0825,1
008028,1982,day,1.3,0.65,2,1,0.05416666666666667,1
008029,1982,day,1.62,0.81,2,1,0.0675,1
008030,1982,day,1.04,0.52,2,1,0.043333333333333335,1
009020,1982,day,2.46,1,3,2,0.12166666666666666,1
009021,1982,day,2.75,0.94,3,2,0.15083333333333335,1
009022,1982,day,1.47,0.97,3,2,0.10166666666666667,1
009023,1982,day,1.26,1,3,2,0.09416666666666666,1
009024,1982,day,1.308888888888889,0.99,2,1,0.0825,1
009025,1982,day,2.013333333333333,0.75,3,1,0.0625,1
009026,1982,day,0.4355555555555556,0.2177777777777778,2,1,0.01814814814814815,1
009027,1982,day,1.1355555555555554,0.4977777777777778,4,1,0.04148148148148149,1
009028,1982,day,1.3599999999999999,0.6799999999999999,2,1,0.056666666666666664,1
009029,1982,day,2.5999999999999996,0.83,4,1,0.06916666666666667,1
009030,1982,day,2,1,2,1,0.08333333333333333,1
010019,1982,day,0.77,0.77,1,1,0.06416666666666666,1
010020,1982,day,0.7000000000000001,0.7000000000000001,1,1,0.05833333333333334,1
010021,1982,day,1.8,0.9,2,1,0.075,1
010022,1982,day,1.98,1,2,1,0.08333333333333333,1
010023,1982,day,2,1,2,1,0.08333333333333333,1
010024,1982,day,2.14,0.98,3,1,0.08166666666666667,1
010025,1982,day,0.98,0.98,1,1,0.08166666666666667,1
010026,1982,day,1.12,0.56,2,1,0.04666666666666667,1
010027,1982,day,1.54,0.77,2,1,0.06416666666666666,1
011020,1982,day,1.1800000000000002,0.65,2,1,0.05416666666666667,1
011021,1982,day,1.45,0.79,2,1,0.06583333333333334,1
011022,1982,day,1.63,0.96,2,1,0.08,1
011023,1982,day,1.75,0.94,2,1,0.07833333333333332,1
011024,1982,day,1.53,0.89,2,1,0.07416666666666667,1
011025,1982,day,2.01,0.71,3,1,0.059166666666666666,1
011026,1982,day,1.96,0.5,4,1,0.041666666666666664,1
011027,1982,day,1.88,0.94,2,1,0.07833333333333332,1
011028,1982,day,1.98,0.99,2,1,0.0825,1
011029,1982,day,2.82,1,4,1,0.08333333333333333,1
011030,1982,day,1.98,0.99,2,1,0.0825,1
011031,1982,day,1.5555555555555556,0.7777777777777778,2,1,0.06481481481481481,1
012021,1982,day,0.77,0.77,1,1,0.06416666666666666,1
012023,1982,day,0.71,0.71,1,1,0.059166666666666666,1
012024,1982,day,0.7,0.7,1,1,0.05833333333333333,1
012025,1982,day,0.8,0.8,1,1,0.06666666666666667,1
012026,1982,day,1.58,0.79,2,1,0.06583333333333334,1
012027,1982,day,0.22,0.11,2,1,0.009166666666666667,1
012028,1982,day,1.2,0.6,2,1,0.049999999999999996,1
012029,1982,day,1.4,0.7,2,1,0.05833333333333333,1
012030,1982,day,1.98,0.99,2,1,0.0825,1
012031,1982,day,1.52,0.76,2,1,0.06333333333333334,1
012032,1982,day,0.02,0.01,2,1,8.333333333333334e-4,1
013018,1982,day,0.6,0.6,1,1,0.049999999999999996,1
013019,1982,day,0.56,0.56,1,1,0.04666666666666667,1
013020,1982,day,0.33999999999999997,0.33999999999999997,1,1,0.028333333333333332,1
013025,1982,day,0.02,0.01,2,1,8.333333333333334e-4,1
013026,1982,day,1.42,0.71,2,1,0.059166666666666666,1
013027,1982,day,1.96,0.98,2,1,0.08166666666666667,1
013028,1982,day,1.86,0.93,2,1,0.0775,1
013029,1982,day,1.12,0.56,2,1,0.04666666666666667,1
013033,1982,day,0.06000000000000004,0.03000000000000002,2,1,0.002500000000000002,1
013034,1982,day,2,1,2,1,0.08333333333333333,1
013035,1982,day,1.98,0.99,2,1,0.0825,1
013036,1982,day,1.98,0.99,2,1,0.0825,1
014020,1982,day,0.98,0.98,1,1,0.08166666666666667,1
014021,1982,day,2.4555555555555557,0.98,4,2,0.11916666666666666,1
014022,1982,day,3.41,1,4,2,0.1625,1
014023,1982,day,2.8600000000000003,0.97,4,2,0.145,1
014024,1982,day,3.02,0.96,4,2,0.15916666666666665,1
014025,1982,day,3.41,0.98,6,2,0.16083333333333333,1
014026,1982,day,6.24,0.99,8,2,0.165,1
014027,1982,day,6.18,1,8,2,0.16666666666666666,1
014028,1982,day,4.76,1,8,2,0.165,1
014029,1982,day,4.16,0.99,8,2,0.1475,1
014030,1982,day,4.24,1,6,2,0.16333333333333333,1
014031,1982,day,3.36,0.99,4,2,0.13999999999999999,1
014032,1982,day,3.62,0.99,4,2,0.15083333333333335,1
014033,1982,day,3.5999999999999996,0.84,6,2,0.12083333333333333,1
014034,1982,day,3.7,0.93,4,2,0.15416666666666667,1
014035,1982,day,3.74,1,4,2,0.15583333333333335,1
014036,1982,day,3.98,1,4,2,0.16583333333333333,1
015018,1982,day,0.23,0.23,1,1,0.01916666666666667,1
015019,1982,day,0.23,0.23,1,1,0.01916666666666667,1
015020,1982,day,0.99,0.99,1,1,0.0825,1
015021,1982,day,0.51,0.51,1,1,0.0425,1
015024,1982,day,1.88,0.94,2,1,0.07833333333333332,1
015026,1982,day,1.9,0.95,2,1,0.07916666666666666,1
015027,1982,day,1.8,0.9,2,1,0.075,1
015028,1982,day,0.9,0.45,2,1,0.0375,1
015029,1982,day,1.6,0.8,2,1,0.06666666666666667,1
015030,1982,day,1.4,0.7,2,1,0.05833333333333333,1
015031,1982,day,0.1399999999999999,0.06999999999999995,2,1,0.005833333333333329,1
015032,1982,day,0.72,0.36,2,1,0.03,1
015033,1982,day,1.68,0.84,2,1,0.06999999999999999,1
015034,1982,day,0.43999999999999995,0.21999999999999997,2,1,0.01833333333333333,1
015036,1982,day,0.06000000000000004,0.03000000000000002,2,1,0.002500000000000002,1
015040,1982,day,1.9,0.95,2,1,0.07916666666666666,1
015041,1982,day,1.24,0.62,2,1,0.051666666666666666,1
015042,1982,day,0.41999999999999993,0.20999999999999996,2,1,0.017499999999999998,1
015043,1982,day,0.54,0.27,2,1,0.022500000000000003,1
016018,1982,day,0.06000000000000005,0.06000000000000005,1,1,0.0050000000000000044,1
016019,1982,day,0.5,0.5,1,1,0.041666666666666664,1
016020,1982,day,0.86,0.86,1,1,0.07166666666666667,1
016021,1982,day,1.81,0.99,2,2,0.15083333333333335,1
016022,1982,day,2.88,1,3,2,0.15666666666666665,1
016023,1982,day,3.39,0.92,4,2,0.14333333333333334,1
016024,1982,day,1.4900000000000002,0.5700000000000001,3,2,0.08583333333333333,1
016025,1982,day,1.65,0.61,3,2,0.09416666666666666,1
016026,1982,day,1.1400000000000001,0.5700000000000001,2,1,0.04750000000000001,1
016027,1982,day,3.5,0.92,4,2,0.14583333333333334,1
016028,1982,day,2.6799999999999997,0.96,4,2,0.11166666666666665,1
016029,1982,day,1.86,0.81,4,2,0.0775,1
016030,1982,day,0.3799999999999999,0.18999999999999995,2,1,0.015833333333333328,1
016031,1982,day,1.5,0.75,2,1,0.0625,1
016032,1982,day,1.98,0.99,2,1,0.0825,1
016033,1982,day,1.86,0.93,2,1,0.0775,1
016034,1982,day,1.94,0.97,2,1,0.08083333333333333,1
016035,1982,day,1.88,0.94,2,1,0.07833333333333332,1
016036,1982,day,1.88,0.94,2,1,0.07833333333333332,1
016037,1982,day,1.1,0.55,2,1,0.04583333333333334,1
016038,1982,day,0.52,0.26,2,1,0.021666666666666667,1
016039,1982,day,0.8799999999999999,0.43999999999999995,2,1,0.03666666666666666,1
016040,1982,day,1.4,0.7,2,1,0.05833333333333333,1
016041,1982,day,1.8,0.9,2,1,0.075,1
016042,1982,day,1.94,0.97,2,1,0.08083333333333333,1
017017,1982,day,0.09999999999999998,0.09999999999999998,1,1,0.008333333333333331,1
017018,1982,day,0.71,0.71,1,1,0.059166666666666666,1
017019,1982,day,1,1,1,1,0.08333333333333333,1
017020,1982,day,1,1,1,1,0.08333333333333333,1
017021,1982,day,2.71,1,3,2,0.16666666666666666,1
017022,1982,day,2.94,1,3,2,0.16416666666666666,1
017024,1982,day,0.4300000000000001,0.4300000000000001,1,1,0.03583333333333334,1
017025,1982,day,0.6599999999999999,0.6599999999999999,1,1,0.05499999999999999,1
017026,1982,day,0.46,0.23,2,1,0.01916666666666667,1
017027,1982,day,0.40000000000000013,0.18000000000000005,4,2,0.016666666666666673,1
017028,1982,day,0.5800000000000001,0.29000000000000004,2,1,0.02416666666666667,1
017029,1982,day,0.6400000000000001,0.26,4,2,0.026666666666666672,1
017030,1982,day,1.4200000000000002,0.5700000000000001,4,1,0.04750000000000001,1
017031,1982,day,1.7599999999999998,0.69,4,2,0.07333333333333332,1
017032,1982,day,2.8,0.72,6,2,0.10833333333333334,1
017033,1982,day,4,0.73,6,2,0.11916666666666666,1
017034,1982,day,4.24,0.95,6,2,0.13166666666666668,1
017035,1982,day,4.96,1,6,2,0.1475,1
017036,1982,day,3.42,1,4,2,0.1425,1
017037,1982,day,5,0.95,6,2,0.15416666666666667,1
017038,1982,day,4.46,1,6,2,0.165,1
017039,1982,day,4.78,1,6,2,0.1525,1
017040,1982,day,3.4,1,4,1,0.08333333333333333,1
017041,1982,day,4.64,1,6,2,0.12,1
018020,1982,day,0.98,0.98,1,1,0.08166666666666667,1
018021,1982,day,0.94,0.94,1,1,0.07833333333333332,1
018022,1982,day,0.99,0.99,1,1,0.0825,1
018023,1982,day,0.98,0.98,1,1,0.08166666666666667,1
018024,1982,day,1,1,1,1,0.08333333333333333,1
018026,1982,day,1.54,0.77,2,1,0.06416666666666666,1
018027,1982,day,1.6,0.8,2,1,0.06666666666666667,1
018028,1982,day,1.9,0.95,2,1,0.07916666666666666,1
018029,1982,day,1.9,0.95,2,1,0.07916666666666666,1
018030,1982,day,1.72,0.86,2,1,0.07166666666666667,1
018031,1982,day,0.6599999999999999,0.32999999999999996,2,1,0.027499999999999997,1
018032,1982,day,0.6599999999999999,0.32999999999999996,2,1,0.027499999999999997,1
019017,1982,day,0.37,0.37,1,1,0.030833333333333334,1
019019,1982,day,0.85,0.85,1,1,0.07083333333333333,1
019020,1982,day,0.73,0.73,1,1,0.06083333333333333,1
019021,1982,day,2.7800000000000002,0.96,3,2,0.15583333333333335,1
019022,1982,day,2.6399999999999997,0.98,3,2,0.15083333333333335,1
019023,1982,day,2.67,0.99,3,2,0.1525,1
019024,1982,day,2.95,0.99,3,2,0.16416666666666666,1
019025,1982,day,2.51,0.97,3,2,0.145,1
019026,1982,day,1.98,0.99,2,1,0.0825,1
019027,1982,day,1.72,0.86,2,1,0.07166666666666667,1
019028,1982,day,0.78,0.39,2,1,0.0325,1
019029,1982,day,0.06000000000000004,0.03000000000000002,2,1,0.002500000000000002,1
019030,1982,day,1.6,0.8,2,1,0.06666666666666667,1
019031,1982,day,1.66,0.83,2,1,0.06916666666666667,1
019032,1982,day,0.04000000000000002,0.02000000000000001,2,1,0.0016666666666666676,1
019035,1982,day,0.46,0.23,2,1,0.01916666666666667,1
019036,1982,day,1.76,0.88,2,1,0.07333333333333333,1
019037,1982,day,2.06,1,4,2,0.08583333333333333,1
019038,1982,day,2.7800000000000002,1,4,2,0.11583333333333334,1
019039,1982,day,2.42,1,4,2,0.10083333333333333,1
020017,1982,day,0.89,0.89,1,1,0.07416666666666667,1
020018,1982,day,0.13,0.13,1,1,0.010833333333333334,1
020019,1982,day,0.47,0.47,1,1,0.03916666666666666,1
020020,1982,day,0.7100000000000001,0.65,2,2,0.05916666666666667,1
020021,1982,day,0.5399999999999999,0.33999999999999997,2,2,0.04499999999999999,1
020022,1982,day,0.33999999999999997,0.33999999999999997,1,1,0.028333333333333332,1
020024,1982,day,0.54,0.5,3,2,0.043333333333333335,1
020025,1982,day,1.2200000000000002,0.5700000000000001,4,2,0.05083333333333334,1
020026,1982,day,2.12,0.72,4,2,0.08833333333333333,1
020027,1982,day,1.8,0.9,2,1,0.075,1
020028,1982,day,1.12,0.56,2,1,0.04666666666666667,1
020029,1982,day,0.5800000000000001,0.16000000000000003,4,2,0.02416666666666667,1
020030,1982,day,1.12,0.4300000000000001,4,2,0.04666666666666667,1
020031,1982,day,0.78,0.39,2,1,0.0325,1
020032,1982,day,1.72,0.86,2,1,0.07166666666666667,1
020033,1982,day,1.68,0.84,2,1,0.06999999999999999,1
020034,1982,day,1.92,0.96,2,1,0.08,1
020035,1982,day,2,1,2,1,0.08333333333333333,1
020036,1982,day,2,1,2,1,0.08333333333333333,1
021018,1982,day,0.63,0.63,1,1,0.0525,1
021019,1982,day,1.1300000000000001,0.5900000000000001,2,1,0.04916666666666667,1
021020,1982,day,0.09999999999999998,0.09999999999999998,1,1,0.008333333333333331,1
021021,1982,day,0.8399999999999999,0.45,3,2,0.06416666666666666,1
021022,1982,day,0.30000000000000004,0.17000000000000004,2,2,0.025000000000000005,1
021023,1982,day,0.26,0.15000000000000002,3,2,0.01833333333333333,1
021024,1982,day,3.1100000000000003,1,4,2,0.13166666666666668,1
021025,1982,day,4.46,0.94,6,2,0.13499999999999998,1
021026,1982,day,3.0999999999999996,0.96,8,2,0.09249999999999999,1
021027,1982,day,2.54,0.94,4,2,0.10583333333333333,1
021028,1982,day,1.4,0.45,4,2,0.05833333333333333,1
021029,1982,day,1.36,0.4,4,2,0.05666666666666667,1
021030,1982,day,1.88,0.6799999999999999,4,1,0.056666666666666664,1
021031,1982,day,4.04,0.88,6,2,0.10999999999999999,1
021032,1982,day,3.7199999999999998,0.86,6,2,0.1025,1
021033,1982,day,4.8,0.86,8,2,0.135,1
021034,1982,day,5.16,0.77,8,2,0.12083333333333333,1
021035,1982,day,4.3,0.8,8,2,0.10916666666666668,1
021036,1982,day,4.08,0.5900000000000001,8,2,0.09750000000000002,1
021037,1982,day,3.52,0.87,6,2,0.11750000000000001,1
021038,1982,day,2.08,0.75,6,2,0.07833333333333332,1
021039,1982,day,1.54,0.52,6,2,0.059166666666666666,1
021040,1982,day,2.2600000000000002,0.9,6,2,0.09000000000000001,1
022017,1982,day,0.89,0.89,1,1,0.07416666666666667,1
022018,1982,day,0.6699999999999999,0.6699999999999999,1,1,0.055833333333333325,1
022019,1982,day,0.14,0.14,1,1,0.011666666666666667,1
022020,1982,day,0.33999999999999997,0.33999999999999997,1,1,0.028333333333333332,1
022021,1982,day,0.06000000000000005,0.06000000000000005,1,1,0.0050000000000000044,1
022022,1982,day,0.08999999999999997,0.08999999999999997,1,1,0.007499999999999997,1
022023,1982,day,1,1,1,1,0.08333333333333333,1
022024,1982,day,1,1,1,1,0.08333333333333333,1
022025,1982,day,0.77,0.77,1,1,0.06416666666666666,1
022026,1982,day,2,1,2,1,0.08333333333333333,1
022027,1982,day,1.98,0.99,2,1,0.0825,1
